Gene	term	estimate	std.error	statistic	p.value	conf.low	conf.high
gene_132	expression_level	-4.486975101428033	1.1575670123643866	-3.876211963109738	1.0609526966376227e-4	-7.194532763257638	-2.562442636253088
gene_1475	expression_level	5.445684772989206	1.541528017282935	3.532653777248665	4.114108779092398e-4	2.8877181113647574	9.07811379842534
gene_6915	expression_level	-2.0814603590278504	0.650693864936431	-3.1988320025596013	0.0013798555131060849	-3.5414173698074847	-0.9434694829255436
gene_117	expression_level	-1.8831631866188283	0.6065227048095646	-3.104851923408378	0.001903743051532549	-3.247063825735479	-0.8305880328061714
gene_3068	expression_level	5.391257697744639	1.750384376205935	3.0800421730400265	0.0020697128594866516	2.4045754657284837	9.365990494925564
gene_2046	expression_level	-4.033184854808866	1.3192096457158682	-3.057273624330014	0.002233602816459272	-7.093502838484384	-1.8319430564816088
gene_452	expression_level	-3.529866483164792	1.1947428459884823	-2.954498949306804	0.0031317721987701302	-6.208594990740685	-1.4688133969914556
gene_6962	expression_level	3.048234006803503	1.0361442287750195	2.941901254815919	0.0032620392635957112	1.2871868436991973	5.401513590481354
gene_2773	expression_level	2.7589118973949924	0.9510626603725344	2.9008728997039137	0.0037212478165303624	1.0520725260286339	4.834370403040484
gene_5886	expression_level	3.4434545545558137	1.1985808055638947	2.8729431829469156	0.004066672459065052	1.3511280107200576	6.103023895434052
gene_121	expression_level	-1.207802911943373	0.42145670328313206	-2.8657817102792134	0.00415980974504109	-2.1443524414492767	-0.4601193115063572
gene_4016	expression_level	2.2677650423902387	0.7943087048812764	2.855017235054974	0.004303449348728011	0.8936093683315761	4.075238205248516
gene_4373	expression_level	1.3275523964162488	0.4650269308523146	2.85478605289176	0.004306582950127544	0.47697463969117126	2.328268055205132
gene_1194	expression_level	-3.9842773864421464	1.4137305745522595	-2.818272065527055	0.004828287869272737	-7.16403016610479	-1.5272121587776613
gene_1933	expression_level	-1.643764256482666	0.5879985445686587	-2.7955243625449633	0.005181559625268969	-2.9260786347591656	-0.5928774212340402
gene_4843	expression_level	3.402499908043552	1.247293343976811	2.727906730581262	0.006373762692582748	1.3205565730606175	6.359249527865957
gene_3400	expression_level	-3.1439479912093447	1.154680118191087	-2.7227869794230366	0.0064733783188105805	-5.821914526531867	-1.186722989980339
gene_4643	expression_level	-3.4536730532112125	1.2714120590275646	-2.716407343070777	0.006599466499769631	-6.283222861729097	-1.2311439440875978
gene_6708	expression_level	2.5103252430162346	0.924929647254336	2.7140715517857634	0.006646180946112718	0.8344676931104308	4.517008005198401
gene_6086	expression_level	2.578224307485391	0.9534006515565188	2.704240135850747	0.0068460794446900085	0.9195241225571537	4.7089475486551775
gene_6341	expression_level	3.798869767329901	1.4108768492042365	2.692559431726831	0.0070905896869439804	1.377622432088554	6.96724381817076
gene_4213	expression_level	2.6071038885015727	0.9717506095571361	2.682894008875106	0.007298811840076141	0.9774216933104789	4.8422688892021775
